Miller Index (hkl),d-spacing (A),Scattering Vector q (A^-1),"2-Theta (Cu Ka, degrees)"
(111),3.2564,1.9295,27.365
(200),2.8201,2.228,31.702
(220),1.9941,3.1509,45.446
(311),1.7006,3.6947,53.866
(222),1.6282,3.859,56.47
(400),1.4101,4.456,66.224
(331),1.294,4.8558,73.067
(420),1.2612,4.982,75.289
(422),1.1513,5.4575,83.988
(511),1.0855,5.7885,90.411
